Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Football Manager 2013,PC,2012.0,Sports,Sega,0.0,0.95,0.0,0.21,1.15,86.0,37.0,6.8,230.0,No Rating
FIFA Soccer 10,PlayStation,2009.0,Sports,Electronic Arts,0.16,0.67,0.01,0.31,1.15,83.0,9.0,7.9,14.0,E
Donkey Konga,Nintendo,2003.0,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,76.0,55.0,8.1,22.0,E
Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,1.15,92.0,40.0,8.5,2376.0,M
Tak and the Power of Juju,PlayStation,2003.0,Platform,THQ,0.56,0.44,0.0,0.15,1.15,68.0,28.0,9.0,28.0,E
Persona 4: Golden,PlayStation,2012.0,Role-Playing,Atlus,0.37,0.24,0.38,0.16,1.14,93.0,61.0,9.2,1240.0,M
Sunset Overdrive,Xbox,2014.0,Shooter,Microsoft Game Studios,0.64,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1142.0,M
Tenchu: Wrath of Heaven,PlayStation,2003.0,Action,Activision,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.4,38.0,M
Shadow of the Colossus,PlayStation,2005.0,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,91.0,77.0,9.1,948.0,T
Brave Fencer Musashi,PlayStation,1998.0,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,81.0,12.0,8.5,17.0,E
Pokemon Rumble Blast,Nintendo,2011.0,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,56.0,36.0,7.1,50.0,E10+
Ninja Gaiden Sigma,PlayStation,2007.0,Action,Eidos Interactive,0.57,0.32,0.09,0.16,1.14,88.0,46.0,7.5,156.0,M
WWE 2K14,PlayStation,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0,T
007: Quantum of Solace,PlayStation,2008.0,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,49.0,T
Dance Dance Revolution Extreme 2,PlayStation,2005.0,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14,76.0,27.0,9.0,21.0,E10+
Dragon Ball: XenoVerse,PlayStation,2015.0,Fighting,Namco Bandai Games,0.32,0.53,0.13,0.16,1.14,69.0,50.0,7.7,600.0,T
The Lord of the Rings: The Return of the King,Xbox,2003.0,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,84.0,31.0,9.1,31.0,T
Hot Shots Golf: Out of Bounds,PlayStation,2007.0,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,81.0,66.0,8.8,32.0,E
Alien: Isolation,PlayStation,2014.0,Shooter,Sega,0.35,0.57,0.04,0.18,1.14,79.0,50.0,8.1,800.0,M
Mobile Suit Gundam: Federation vs. Zeon,PlayStation,2001.0,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,73.0,15.0,8.8,32.0,T
Pikmin 3,Nintendo,2013.0,Strategy,Nintendo,0.45,0.33,0.29,0.07,1.13,87.0,79.0,8.7,666.0,E10+
MechAssault,Xbox,2002.0,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13,87.0,32.0,8.0,47.0,T
LEGO City Undercover,Nintendo,2013.0,Platform,Nintendo,0.49,0.44,0.13,0.08,1.13,80.0,66.0,8.2,283.0,E10+
Pokken Tournament,Nintendo,2016.0,Fighting,Namco Bandai Games,0.56,0.32,0.18,0.09,1.13,76.0,74.0,8.0,276.0,E10+
Cars,Nintendo,2006.0,Racing,THQ,0.81,0.3,0.0,0.02,1.13,50.0,8.0,4.7,6.0,E
LEGO Star Wars III: The Clone Wars,Nintendo,2011.0,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,67.0,25.0,6.1,31.0,E10+
Project CARS,PlayStation,2015.0,Racing,Slightly Mad Studios,0.23,0.7,0.03,0.17,1.13,83.0,37.0,6.6,367.0,E
Tom Clancys Rainbow Six 3: Black Arrow,Xbox,2004.0,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,84.0,55.0,8.6,14.0,M
Rocksmith,PlayStation,2011.0,Misc,Ubisoft,0.53,0.36,0.09,0.15,1.13,80.0,27.0,8.3,52.0,T
Mirrors Edge,PlayStation,2008.0,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,79.0,66.0,7.8,366.0,T
Guitar Hero 5,Xbox,2009.0,Misc,Activision,0.65,0.37,0.0,0.11,1.13,85.0,69.0,6.8,108.0,T
Fantasy Life,Nintendo,2012.0,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73.0,51.0,8.6,210.0,E10+
SingStar,PlayStation,2007.0,Misc,Sony Computer Entertainment,0.45,0.56,0.0,0.12,1.13,82.0,48.0,5.9,15.0,T
Supercar Street Challenge,PlayStation,2001.0,Racing,Activision,0.55,0.43,0.0,0.14,1.12,57.0,15.0,7.6,9.0,E
Rabbids Go Home,Nintendo,2009.0,Platform,Ubisoft,0.25,0.74,0.0,0.14,1.12,78.0,50.0,8.3,32.0,E10+
Rocksmith,Xbox,2011.0,Misc,Ubisoft,0.84,0.19,0.01,0.08,1.12,77.0,30.0,8.2,62.0,T
ModNation Racers,PlayStation,2010.0,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,202.0,E
SOCOM: U.S. Navy SEALs Fireteam Bravo,PlayStation,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12,82.0,44.0,8.6,63.0,M
Call Of Duty 2: Big Red One,Xbox,2005.0,Shooter,Activision,0.66,0.4,0.0,0.05,1.12,78.0,46.0,5.1,27.0,T
Guitar Hero 5,PlayStation,2009.0,Misc,Activision,0.28,0.3,0.0,0.54,1.12,71.0,4.0,2.6,10.0,T
Worldwide Soccer Manager 2008,PC,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12,86.0,15.0,8.0,19.0,E
Yakuza 3,PlayStation,2009.0,Action,Sega,0.21,0.2,0.62,0.08,1.12,79.0,77.0,8.1,165.0,M
Spider-Man 2,Xbox,2004.0,Action,Activision,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.3,40.0,T
Crackdown 2,Xbox,2010.0,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.1,1.12,70.0,91.0,6.0,202.0,M
The Beatles: Rock Band,PlayStation,2009.0,Misc,MTV Games,0.67,0.29,0.0,0.15,1.12,88.0,60.0,8.7,59.0,T
Dragon Age II,Xbox,2011.0,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79.0,75.0,4.5,2382.0,M
Counter-Strike,Xbox,2003.0,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,74.0,38.0,7.6,51.0,M
Guitar Hero Encore: Rocks The 80s,PlayStation,2007.0,Misc,RedOctane,0.92,0.04,0.0,0.15,1.11,69.0,50.0,6.3,31.0,T
Fight Night Champion,PlayStation,2011.0,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11,84.0,52.0,7.3,95.0,M
Rock Band,PlayStation,2007.0,Misc,Electronic Arts,0.71,0.06,0.0,0.35,1.11,82.0,8.0,6.8,13.0,T
Tom Clancys Splinter Cell: Chaos Theory,Xbox,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,94.0,70.0,9.0,160.0,M
WWE 2K14,Xbox,2013.0,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11,75.0,43.0,7.7,100.0,T
Dishonored 2,PlayStation,2016.0,Action,Bethesda Softworks,0.41,0.51,0.01,0.18,1.1,88.0,62.0,7.7,629.0,M
Castlevania: Lords of Shadow,PlayStation,2010.0,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,85.0,62.0,7.9,472.0,M
Plants vs. Zombies,Nintendo,2011.0,Strategy,Mastertronic,0.9,0.12,0.0,0.08,1.1,81.0,23.0,7.4,29.0,E10+
Tales of Symphonia,Nintendo,2003.0,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,86.0,60.0,8.5,181.0,T
Need for Speed: ProStreet,Nintendo,2007.0,Racing,Electronic Arts,0.53,0.45,0.0,0.12,1.1,61.0,16.0,6.9,14.0,E10+
GRID,PlayStation,2008.0,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1,87.0,39.0,8.1,110.0,E
Medal of Honor: Airborne,Xbox,2007.0,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1,73.0,54.0,6.7,77.0,T
Star Ocean: The Second Story,PlayStation,1998.0,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,80.0,13.0,8.5,44.0,E
Sonic and the Black Knight,Nintendo,2009.0,Platform,Sega,0.64,0.34,0.01,0.11,1.09,54.0,51.0,6.9,199.0,E10+
Plants vs. Zombies: Garden Warfare,Xbox,2014.0,Shooter,Electronic Arts,0.52,0.48,0.0,0.09,1.09,69.0,6.0,7.3,122.0,E10+
NCAA Football 14,Xbox,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.08,1.09,77.0,18.0,5.8,74.0,E
The Legend of Zelda: Twilight Princess HD,Nintendo,2016.0,Action,Nintendo,0.59,0.32,0.09,0.09,1.09,86.0,74.0,8.4,340.0,T
Yakuza 2,PlayStation,2006.0,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,77.0,34.0,8.1,52.0,M
Guitar Hero 5,PlayStation,2009.0,Misc,Activision,0.53,0.39,0.0,0.17,1.09,86.0,54.0,5.7,87.0,T
Sonic Free Riders,Xbox,2010.0,Racing,Sega,0.75,0.25,0.0,0.09,1.09,47.0,52.0,2.1,98.0,E
Dragon Ball Z: The Legacy of Goku II,Nintendo,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,75.0,21.0,8.9,39.0,E
NERF N-Strike,Nintendo,2008.0,Shooter,Electronic Arts,0.91,0.09,0.0,0.09,1.09,66.0,13.0,4.4,7.0,E10+
NFL 2K1,Sega,2000.0,Sports,Sega,1.02,0.05,0.0,0.02,1.09,97.0,22.0,6.0,47.0,E
Untold Legends: Brotherhood of the Blade,PlayStation,2005.0,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.09,68.0,51.0,7.6,58.0,T
Madden NFL 2004,Xbox,2003.0,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09,92.0,27.0,8.3,48.0,E
The Godfather,PlayStation,2006.0,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75.0,56.0,8.3,99.0,M
Star Wars: Bounty Hunter,PlayStation,2002.0,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,65.0,32.0,8.3,33.0,T
WWE SmackDown vs. Raw 2011,PlayStation,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74.0,42.0,6.9,42.0,T
NCAA Football 13,Xbox,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.07,1.09,76.0,20.0,5.5,65.0,E
Skate 2,Xbox,2009.0,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84.0,70.0,7.9,73.0,T
Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.1,1.09,90.0,62.0,6.9,2989.0,T
NASCAR Thunder 2004,PlayStation,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,88.0,15.0,8.9,77.0,E
Namco Museum Battle Collection,PlayStation,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.08,73.0,28.0,7.2,9.0,E10+
Virtua Fighter 5,PlayStation,2007.0,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,85.0,47.0,7.4,67.0,T
Dantes Inferno,PlayStation,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75.0,69.0,7.5,267.0,M
Tom Clancys Ghost Recon 2,PlayStation,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,58.0,21.0,6.0,19.0,T
Star Wars: The Force Unleashed,PlayStation,2008.0,Action,LucasArts,0.43,0.4,0.0,0.24,1.08,70.0,10.0,8.1,49.0,T
Dragon Ball Z: Taiketsu,Nintendo,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,40.0,23.0,6.1,22.0,T
Star Fox: Assault,Nintendo,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,67.0,59.0,8.1,106.0,T
Rayman Legends,PlayStation,2014.0,Platform,Ubisoft,0.22,0.69,0.0,0.17,1.07,90.0,16.0,8.5,530.0,E10+
The Simpsons Game,PlayStation,2007.0,Action,Electronic Arts,0.24,0.54,0.0,0.3,1.07,59.0,7.0,6.7,15.0,T
LEGO Star Wars II: The Original Trilogy,Nintendo,2006.0,Action,LucasArts,0.96,0.03,0.0,0.08,1.07,47.0,9.0,5.0,38.0,E
FIFA Soccer 11,Nintendo,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07,73.0,17.0,7.3,8.0,E
Call of Duty 3,PlayStation,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,82.0,14.0,7.4,83.0,T
Prince of Persia,PlayStation,2008.0,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,85.0,59.0,7.3,246.0,T
The Biggest Loser,Nintendo,2009.0,Sports,THQ,0.86,0.12,0.0,0.09,1.07,74.0,5.0,8.1,32.0,E
Marvel vs. Capcom 3: Fate of Two Worlds,Xbox,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07,85.0,77.0,7.1,167.0,T
Tomb Raider: Underworld,Xbox,2008.0,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,76.0,57.0,6.6,198.0,T
DJ Hero,Xbox,2009.0,Misc,Activision,0.57,0.39,0.0,0.11,1.07,84.0,72.0,8.0,42.0,T
Pro Evolution Soccer 2008,Xbox,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,76.0,29.0,7.8,36.0,E
Tiger Woods PGA Tour 10,Nintendo,2009.0,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07,88.0,44.0,8.8,57.0,E
SoulCalibur III,PlayStation,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,86.0,57.0,8.4,96.0,T
Lightning Returns: Final Fantasy XIII,PlayStation,2013.0,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,66.0,62.0,5.9,556.0,T
World Tour Soccer,PlayStation,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,70.0,31.0,5.6,5.0,E
Naruto: Ultimate Ninja Storm,PlayStation,2008.0,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,75.0,32.0,8.6,95.0,T
Grand Theft Auto: Chinatown Wars,PlayStation,2009.0,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.07,90.0,77.0,7.3,146.0,M
Mortal Kombat: Armageddon,PlayStation,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,75.0,43.0,8.5,84.0,M
Freekstyle,PlayStation,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,81.0,25.0,7.3,14.0,E
Spore Creatures,Nintendo,2008.0,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,1.06,65.0,20.0,6.5,21.0,E
The Orange Box,PlayStation,2007.0,Shooter,Electronic Arts,0.28,0.58,0.0,0.21,1.06,89.0,21.0,8.4,188.0,M
Bully: Scholarship Edition,Xbox,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06,80.0,56.0,8.3,156.0,T
Skylanders Giants,PlayStation,2012.0,Action,Activision,0.37,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0,E10+
NBA Street V3,PlayStation,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,89.0,36.0,8.7,37.0,E
Hulk,PlayStation,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,71.0,28.0,8.3,22.0,T
Titanfall 2,PlayStation,2016.0,Shooter,Electronic Arts,0.46,0.38,0.05,0.17,1.06,89.0,61.0,8.4,769.0,M
Endless Ocean,Nintendo,2007.0,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,72.0,42.0,8.1,61.0,E
Aliens vs Predator,Xbox,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,64.0,64.0,7.3,247.0,M
Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,87.0,21.0,9.1,645.0,M
Spider-Man 2,Nintendo,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06,65.0,12.0,7.7,6.0,E
Seek and Destroy,PlayStation,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,1.06,63.0,9.0,8.8,10.0,T
Darksiders,Xbox,2010.0,Action,THQ,0.67,0.28,0.01,0.1,1.06,83.0,81.0,7.9,293.0,M
Mercenaries 2: World in Flames,Xbox,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,72.0,69.0,7.2,152.0,T
Warhawk,PlayStation,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,84.0,50.0,8.4,184.0,T
DiRT 3,PlayStation,2011.0,Racing,Codemasters,0.27,0.57,0.01,0.2,1.06,87.0,52.0,7.1,122.0,T
LEGO The Lord of the Rings,PlayStation,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,1.05,82.0,16.0,8.3,85.0,E10+
EA Sports UFC,PlayStation,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.18,1.05,70.0,57.0,6.1,280.0,T
Sega Superstars Tennis,Nintendo,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.05,71.0,24.0,6.8,17.0,E10+
DiRT,PlayStation,2007.0,Racing,Codemasters,0.16,0.66,0.0,0.23,1.05,83.0,32.0,8.0,33.0,E
Call of Duty 4: Modern Warfare,Nintendo,2007.0,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,75.0,22.0,6.9,36.0,T
Resident Evil: The Darkside Chronicles,Nintendo,2009.0,Action,Capcom,0.46,0.31,0.2,0.09,1.05,75.0,55.0,8.0,60.0,M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PlayStation,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,81.0,31.0,9.0,36.0,T
Dora the Explorer: Dora Saves the Mermaids,Nintendo,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,1.05,44.0,5.0,2.5,4.0,E
NBA 2K3,PlayStation,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05,89.0,21.0,8.0,22.0,E
The Simpsons: Road Rage,Xbox,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05,61.0,17.0,8.3,6.0,T
Dave Mirra Freestyle BMX,PlayStation,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,82.0,14.0,8.4,5.0,E
Forza Motorsport,Xbox,2005.0,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05,92.0,73.0,7.6,214.0,E
Virtua Tennis 3,PlayStation,2007.0,Sports,Sega,0.23,0.58,0.03,0.21,1.05,80.0,35.0,7.9,32.0,E
MVP Baseball 2003,PlayStation,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04,81.0,22.0,8.9,17.0,E
Legacy of Kain: Soul Reaver,PlayStation,1999.0,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,91.0,17.0,9.0,133.0,T
WWE SmackDown vs. Raw 2010,Xbox,2009.0,Fighting,THQ,0.56,0.37,0.01,0.1,1.04,80.0,59.0,8.4,36.0,T
Sleeping Dogs,PlayStation,2012.0,Action,Square Enix,0.31,0.49,0.05,0.19,1.04,83.0,40.0,7.7,646.0,M
Naruto: Clash of Ninja 2,Nintendo,2003.0,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04,74.0,22.0,8.9,39.0,T
Dance Dance Revolution SuperNOVA,PlayStation,2006.0,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,73.0,25.0,8.7,6.0,E10+
Aliens vs Predator,PlayStation,2010.0,Shooter,Sega,0.41,0.46,0.0,0.18,1.04,65.0,57.0,7.3,169.0,M
F-Zero: Maximum Velocity,Nintendo,2001.0,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,86.0,19.0,8.4,23.0,E
Sonic the Hedgehog,Xbox,2006.0,Platform,Sega,0.44,0.48,0.0,0.11,1.04,46.0,38.0,4.4,458.0,E10+
Need for Speed: Most Wanted,Xbox,2005.0,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04,83.0,32.0,8.8,29.0,T
The Simpsons Game,Xbox,2007.0,Action,Electronic Arts,0.54,0.39,0.0,0.11,1.04,71.0,52.0,7.7,73.0,T
F1 2012,PlayStation,2012.0,Racing,Codemasters,0.12,0.63,0.05,0.23,1.04,81.0,23.0,7.5,55.0,E
Brink,Xbox,2011.0,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.03,68.0,85.0,5.8,404.0,T
MX vs. ATV Unleashed,PlayStation,2005.0,Racing,THQ,0.86,0.03,0.0,0.14,1.03,79.0,30.0,8.4,17.0,E
Sonic Generations,Nintendo,2011.0,Platform,Sega,0.44,0.49,0.01,0.09,1.03,66.0,29.0,6.9,110.0,E
WipEout Pure,PlayStation,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.23,1.03,88.0,56.0,7.9,102.0,E
UFC Undisputed 3,PlayStation,2012.0,Action,THQ,0.55,0.32,0.03,0.13,1.03,86.0,30.0,7.4,92.0,T
LEGO Pirates of the Caribbean: The Video Game,Xbox,2011.0,Action,Disney Interactive Studios,0.54,0.39,0.0,0.09,1.03,73.0,54.0,7.0,31.0,E10+
Tom Clancys Ghost Recon Advanced Warfighter 2,PlayStation,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03,84.0,29.0,8.1,41.0,T
Super Princess Peach,Nintendo,2005.0,Platform,Nintendo,0.7,0.05,0.21,0.07,1.03,75.0,48.0,7.6,33.0,E
FIFA Soccer 08,Nintendo,2007.0,Sports,Electronic Arts,0.32,0.59,0.01,0.12,1.03,65.0,13.0,6.1,26.0,E
Guinness World Records: The Videogame,Nintendo,2008.0,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.03,67.0,12.0,7.0,8.0,E10+
MySims Agents,Nintendo,2009.0,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.03,78.0,28.0,8.6,28.0,E
NCAA March Madness 2004,PlayStation,2003.0,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03,82.0,16.0,8.8,12.0,E
LEGO Indiana Jones: The Original Adventures,PlayStation,2008.0,Action,Activision,0.44,0.42,0.0,0.17,1.03,77.0,36.0,7.7,30.0,E10+
Tomb Raider,PC,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,86.0,18.0,8.5,3572.0,M
Street Fighter Alpha 3,PlayStation,1998.0,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,93.0,12.0,8.5,46.0,T
Kirby: Planet Robobot,Nintendo,2016.0,Action,Nintendo,0.3,0.18,0.5,0.05,1.03,81.0,71.0,8.7,92.0,E
MotorStorm: Arctic Edge,PlayStation,2009.0,Racing,Sony Computer Entertainment,0.16,0.57,0.0,0.29,1.02,79.0,58.0,8.8,39.0,T
Disney Universe,Nintendo,2011.0,Action,Disney Interactive Studios,0.65,0.28,0.0,0.1,1.02,61.0,11.0,6.0,5.0,E10+
Dance on Broadway,Nintendo,2010.0,Misc,Ubisoft,0.26,0.65,0.0,0.12,1.02,48.0,6.0,3.3,4.0,E10+
Tiger Woods PGA Tour 08,Nintendo,2007.0,Sports,Electronic Arts,0.93,0.01,0.0,0.08,1.02,72.0,24.0,7.0,22.0,E
Dragon Ball Z: Budokai Tenkaichi 3,Nintendo,2007.0,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,72.0,27.0,8.4,61.0,T
Skylanders SWAP Force,PlayStation,2013.0,Platform,Activision,0.44,0.42,0.0,0.17,1.02,83.0,31.0,5.3,33.0,E10+
Shrek 2,Nintendo,2004.0,Platform,Activision,0.73,0.26,0.01,0.03,1.02,70.0,25.0,6.7,15.0,E
Tom Clancys Ghost Recon Advanced Warfighter 2,Xbox,2007.0,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,86.0,58.0,8.1,89.0,T
Sonic Unleashed,PlayStation,2008.0,Platform,Sega,0.56,0.32,0.01,0.14,1.02,54.0,24.0,7.8,132.0,E10+
LEGO Indiana Jones 2: The Adventure Continues,Xbox,2009.0,Action,Activision,0.62,0.31,0.0,0.09,1.02,71.0,41.0,7.4,25.0,E10+
Bulletstorm,Xbox,2011.0,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,84.0,83.0,7.6,440.0,M
Madden NFL 07,Xbox,2006.0,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,83.0,27.0,8.7,6.0,E
Rock Band 2,Nintendo,2008.0,Misc,MTV Games,0.93,0.01,0.0,0.08,1.02,92.0,10.0,7.7,45.0,T
Harry Potter and the Prisoner of Azkaban,PlayStation,2004.0,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,70.0,29.0,8.8,31.0,E
Pokemon Conquest,Nintendo,2012.0,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,80.0,40.0,8.2,90.0,E
Wall-E,Nintendo,2008.0,Platform,THQ,0.51,0.4,0.0,0.11,1.02,51.0,18.0,3.6,8.0,E
Naruto: Clash of Ninja Revolution,Nintendo,2007.0,Fighting,Tomy Corporation,0.44,0.46,0.0,0.11,1.01,74.0,23.0,8.0,27.0,T
Ace Combat 6: Fires of Liberation,Xbox,2007.0,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80.0,54.0,7.9,101.0,T
Assassins Creed: Rogue,Xbox,2014.0,Action,Ubisoft,0.59,0.34,0.0,0.09,1.01,72.0,32.0,7.3,321.0,M
ZombiU,Nintendo,2012.0,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01,77.0,70.0,7.7,760.0,M
The Simpsons Game,Nintendo,2007.0,Action,Electronic Arts,0.45,0.46,0.0,0.11,1.01,64.0,19.0,6.1,38.0,T
Ninja Gaiden II,Xbox,2008.0,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,81.0,74.0,8.0,304.0,M
Prince of Persia,Xbox,2008.0,Action,Ubisoft,0.54,0.34,0.02,0.1,1.01,81.0,73.0,7.0,189.0,T
Monster Rancher,PlayStation,1997.0,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,86.0,5.0,8.3,10.0,No Rating
Ford Racing 2,PlayStation,2003.0,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,51.0,5.0,8.0,8.0,E
NERF N-Strike Elite,Nintendo,2009.0,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0,67.0,12.0,4.5,6.0,E10+
God of War: Ghost of Sparta,PlayStation,2010.0,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1.0,86.0,73.0,8.4,256.0,M
SoulCalibur II,Xbox,2003.0,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,1.0,92.0,39.0,8.9,54.0,T
Just Dance 2014,Xbox,2013.0,Misc,Ubisoft,0.73,0.17,0.0,0.1,1.0,79.0,16.0,7.8,33.0,E10+
